"","year","country_code","phase_number","count","skilled","t","pie","gdp_pc","n","skilled_lag_20"
"1",1976,"BD",1,422,0,50.292,0.719204324506457,31266.0236180069,7.13270142180095,0
"2",1993,"BD",3,240,0.00416666666666667,57.635,0.764497678247678,449525.903767082,7.02916666666667,0.00416666666666667
"3",1994,"BD",3,394,0.0152284263959391,57.927,0.784492509746317,482993.075530625,6.86040609137056,0.0152284263959391
"4",2007,"BD",5,1016,0.032512315270936,67.241,0.835372651735841,2654373.04136486,5.10334645669291,0.032512315270936
"5",1993,"BF",2,292,0,49.437,0.723469196328785,30516488.6198034,8.02054794520548,0
"6",2010,"BF",6,1308,0.00840978593272171,55.959,0.803047631946714,158758812.673441,7.11391437308868,0.00840978593272171
"7",1982,"BJ",1,263,0,48.31,0.714003676931434,37654706.5400548,6.60456273764259,0
"8",1989,"BO",1,598,0.068561872909699,55.156,0.82884443223072,5083.67822227659,6.19565217391304,0.068561872909699
"9",1993,"BO",3,108,0.037037037037037,57.629,0.808050668467335,14265.2554407652,6.23148148148148,0.037037037037037
"10",1994,"BO",3,566,0.11660777385159,58.418,0.819277130407872,17101.3979629541,6.22614840989399,0.11660777385159
"11",2008,"BO",5,1533,0.240704500978474,65.027,0.884240775532361,89865.3512566174,5.46640574037834,0.240704500978474
"12",1987,"BU",1,270,0,48.164,0.770826508882064,3529350.26417284,7.2962962962963,0
"13",2010,"BU",6,606,0.0033003300330033,56.388,0.798167188513723,354806861.712112,7.34158415841584,0.0033003300330033
"14",2016,"BU",7,689,0.0290275761973875,60.217,0.839391369797756,764871419.545873,6.78374455732946,0.0290275761973875
"15",2017,"BU",7,474,0.0548523206751055,60.793,0.858122649736574,888304879.020255,6.45147679324895,0.0548523206751055
"16",1980,"CI",1,218,0.027906976744186,51.682,0.68550360826737,56540546.1119539,7.44954128440367,0.027906976744186
"17",1981,"CI",1,145,0,52.27,0.727651639548191,74180205.3596292,7.3448275862069,0
"18",1978,"CM",1,564,0.00544464609800363,49.995,0.74480526860846,38145086.853429,6.22872340425532,0.00544464609800363
"19",1991,"CM",2,188,0.0106382978723404,54.868,0.797257943002624,80722553.4699697,7.13297872340426,0.0106382978723404
"20",2011,"CM",6,1126,0.0621669626998224,56.582,0.862140087561935,312445564.80829,6.34014209591474,0.0621669626998224
"21",2018,"CM",7,864,0.0833333333333333,60.81,0.875279167206251,473422647.860742,5.81018518518519,0.0833333333333333
"22",1976,"CO",1,372,0.0307262569832402,64.27,0.850068476708532,1053291.12370915,7.37096774193548,0.0307262569832402
"23",1986,"CO",1,368,0.00543478260869565,66.276,0.901423385919953,60570256.5498334,6.34510869565217,0.00543478260869565
"24",1990,"CO",2,543,0.0331491712707182,68.533,0.924065565087665,431003482.90282,5.4548802946593,0.0331491712707182
"25",2009,"CO",5,561,0.158645276292335,74.295,0.961251983310807,24190474636.8894,3.36363636363636,0.158645276292335
"26",2010,"CO",5,4824,0.148424543946932,74.742,0.958392119500639,22841090783.3177,3.46144278606965,0.148424543946932
"27",1976,"CR",1,392,0.0566037735849057,69.4,0.898078215843447,104874.600175608,7.27040816326531,0.0566037735849057
"28",1975,"DR",1,213,0.0418848167539267,58.65,0.86580267385439,2758.30637711729,7.11267605633803,0.0418848167539267
"29",1986,"DR",1,504,0.0119047619047619,64.139,0.866437076413534,13584.685591386,7.62698412698413,0.0119047619047619
"30",1991,"DR",2,461,0.0630434782608696,67.11,0.894863891547303,22765.1121152699,6.22559652928417,0.0630434782608696
"31",2007,"DR",5,2498,0.203763010408327,71.165,0.941329591034355,43390.3100501448,4.05804643714972,0.203763010408327
"32",2013,"DR",6,971,0.299691040164779,72.514,0.940165595932846,51151.5714768503,3.58496395468589,0.299691040164779
"33",1979,"EC",1,452,0.0952380952380952,62.153,0.836870188671009,1820.17471061419,7.18141592920354,0.0952380952380952
"34",1980,"EG",1,854,0.100117785630153,55.802,0.731165345977131,227.627515043104,7.21896955503513,0.100117785630153
"35",1988,"EG",1,965,0.0716510903426791,62.137,0.79504178176458,894.64681935894,6.36891191709845,0.0716510903426791
"36",1992,"EG",2,1033,0.0735721200387222,64.755,0.819147852255306,8611.97058478974,6.26815101645692,0.0735721200387222
"37",2008,"EG",5,2159,0.245947197776749,69.128,0.922298002033991,61088.9599109971,4.91199629458082,0.245947197776749
"38",2014,"EG",6,2624,0.379192073170732,70.052,0.945518900349312,166716.766211319,4.2313262195122,0.379192073170732
"39",1974,"FJ",1,406,0.058974358974359,61.022,0.898684528469373,642.152945865958,7.0935960591133,0.058974358974359
"40",1979,"GH",1,415,0.0536585365853659,50.571,0.816349647674949,0.000152274655200468,6.93734939759036,0.0536585365853659
"41",1988,"GH",1,356,0.0112359550561798,53.824,0.789253100208156,0.323331631006942,7.44101123595506,0.0112359550561798
"42",1993,"GH",2,318,0.0314465408805031,56.231,0.81976822967389,3.30840897927337,6.82389937106918,0.0314465408805031
"43",2008,"GH",5,428,0.0817757009345794,60.224,0.856084141714983,1793.30528079955,5.77336448598131,0.0817757009345794
"44",2014,"GH",6,846,0.033096926713948,62.42,0.876630753669761,16555.6708582936,5.39007092198582,0.033096926713948
